chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.01710341726345269	0.0005857391419551946	0.001174912402717658	0.0005850537641755429	3424.49861583344	1709.244622003584
0.01720343724744949	0.0005926180670854892	0.001188751425908499	0.0005919165062538649	3384.864402927932	1689.427460519429
0.01730345723144629	0.000599537293282775	0.001202672484236511	0.0005988192643209819	3345.915502717764	1669.952955060536
0.01740347721544309	0.0006064968238815004	0.0012166756012219	0.0006057620383768934	3307.636206261694	1650.813251156256
0.01750349719943989	0.0006134966622356777	0.001230760800524964	0.0006127448284216	3270.011252159285	1632.000718106344
0.01760351718343669	0.0006205368117188841	0.001244928105946149	0.0006197676344551015	3233.02581133736	1613.507941374186
0.01770353716743349	0.0006276172757242683	0.001259177541426123	0.0006268304564773976	3196.665472436392	1595.32771527999
0.01780355715143029	0.0006347380576645539	0.001273509131045835	0.000633933294488489	3160.916227769962	1577.45303598052
0.01790357713542709	0.0006418991609720428	0.001287922899026586	0.0006410761484883751	3125.764459831773	1559.877094722599
0.01800359711942388	0.0006491005890986198	0.001302418869730095	0.0006482590184770559	3091.196928325894	1542.593271358235
0.01810361710342068	0.0006563423455157575	0.001316997067658566	0.0006554819044545319	3057.200757697228	1525.59512810985
0.01820363708741748	0.0006636244337145192	0.001331657517454754	0.0006627448064208027	3023.763425140244	1508.876403574652
0.01830365707141428	0.0006709468572055635	0.001346400243902035	0.0006700477243758681	2990.872749065138	1492.431006957712
0.01840367705541108	0.0006783096195191501	0.001361225271924477	0.0006773906583197286	2958.516878001572	1476.25301252383
0.01850369703940788	0.0006857127242051411	0.001376132626586903	0.0006847736082523841	2926.684279921151	1460.336654258781
0.01860371702340468	0.0006931561748330079	0.001391122333094966	0.0006921965741738342	2895.363731960632	1444.676320730917
0.01870373700740148	0.0007006399749918344	0.001406194416795212	0.0006996595560840793	2864.544310528816	1429.266550144608
0.01880375699139828	0.0007081641282903215	0.001421348903175159	0.0007071625539831195	2834.215381780806	1414.102025577376
0.01890377697539508	0.0007157286383567908	0.00143658581786336	0.0007147055678709542	2804.366592444127	1399.177570392957
